team,avg_fg_percent,avg_opp_fg_percent
Atlanta Hawks,0.4537641242937854,0.4572485875706214
Boston Celtics,0.4537641242937854,0.44442937853107345
Brooklyn Nets,0.4573967741935484,0.4594
Chicago Bulls,0.4537641242937854,0.4491426553672317
Charlotte Hornets,0.4549082840236687,0.4541656804733728
Cleveland Cavaliers,0.4537641242937854,0.4586031073446327
Dallas Mavericks,0.4537641242937854,0.4519774011299435
Denver Nuggets,0.4537641242937854,0.457135593220339
Detroit Pistons,0.4537641242937854,0.45677401129943507
Golden State Warriors,0.4537641242937854,0.4540084745762712
Houston Rockets,0.4537641242937854,0.4516271186440678
Indiana Pacers,0.4537641242937854,0.44468785310734454
Los Angeles Clippers,0.4537641242937854,0.4518954802259887
Los Angeles Lakers,0.4537641242937854,0.4508262711864407
Memphis Grizzlies,0.4544969135802469,0.4545401234567902
Miami Heat,0.4537641242937854,0.4423573446327683
Milwaukee Bucks,0.4537641242937854,0.4539449152542373
Minnesota Timberwolves,0.4537641242937854,0.46163983050847457
New Orleans Pelicans,0.45787813620071693,0.46266666666666667
New York Knicks,0.4537641242937854,0.4551892655367232
Oklahoma City Thunder,0.4572119815668203,0.4507142857142857
Orlando Magic,0.4537641242937854,0.4536242937853107
Philadelphia 76ers,0.4537641242937854,0.4513333333333333
Phoenix Suns,0.4537641242937854,0.4563502824858757
Portland Trail Blazers,0.4537641242937854,0.456475988700565
Sacramento Kings,0.4537641242937854,0.4628587570621468
San Antonio Spurs,0.4537641242937854,0.44350423728813554
Toronto Raptors,0.4537641242937854,0.4552372881355932
Utah Jazz,0.4537641242937854,0.4509491525423728
Washington Wizards,0.4537641242937854,0.46213418079096047
League Average,0.4537641242937854,0.4537231638418079
Charlotte Bobcats,0.4551290322580645,0.46170000000000005
New Orleans Hornets,0.45176895306859205,0.4552238267148015
New Jersey Nets,0.4509346733668342,0.45136683417085427
Seattle SuperSonics,0.4483029197080292,0.4591642335766424
New Orleans/Oklahoma City Hornets,0.45603225806451614,0.458
Vancouver Grizzlies,0.4458500000000001,0.46849999999999997
