season,team,w
2022,San Antonio Spurs,34.0
2021,San Antonio Spurs,33.0
2020,San Antonio Spurs,32.0
2019,San Antonio Spurs,48.0
2018,San Antonio Spurs,47.0
2017,San Antonio Spurs,61.0
2016,San Antonio Spurs,67.0
2015,San Antonio Spurs,55.0
2014,San Antonio Spurs,62.0
2013,San Antonio Spurs,58.0
2012,San Antonio Spurs,50.0
2011,San Antonio Spurs,61.0
2010,San Antonio Spurs,50.0
2009,San Antonio Spurs,54.0
2008,San Antonio Spurs,56.0
2007,San Antonio Spurs,58.0
2006,San Antonio Spurs,63.0
2005,San Antonio Spurs,59.0
2004,San Antonio Spurs,57.0
2003,San Antonio Spurs,60.0
2002,San Antonio Spurs,58.0
2001,San Antonio Spurs,58.0
2000,San Antonio Spurs,53.0
